Serial No.,ScreenTimeHrs,Normalized_Screen_Time_hrs,ZoomMeetings,Normalized_ZoomMeetings_Hrs,StressLevel,Normalized_StressLevels,SleepHours,Normalized_SleepHours,BreaksTaken,Normalized_BreakTaken,ExerciseTime_Mins,Normalized_Exercise_Time,Self_Reported_Stress,Self_Reported_Productivity,Stress_Score,Normalized_StressScore,Burnout_Score,Productivity_Score,Mood,Work_Life_Balance (Out of 100)
149,9,0.5109489051,9,1,1,0,6.8,0.5428571429,3,0.5,0.27,0.1273584906,5,3,86.25719795,73.37913152,41.82405021,58.17594979,Neutral,58
150,8.6,0.4817518248,0,0,6,0.5555555556,5.3,0.3285714286,6,1,0.11,0.05188679245,8,6,77.98139965,32.29716777,31.34356412,68.65643588,Good,69
151,8.5,0.4744525547,6,0.6666666667,7,0.6666666667,8.7,0.8142857143,6,1,0.5,0.2358490566,4,3,78.62017694,35.46812778,45.98826739,54.01173261,Neutral,54
152,8.7,0.4890510949,2,0.2222222222,2,0.1111111111,8.4,0.7714285714,6,1,0.39,0.1839622642,4,9,75.7610111,21.27491726,0,100,Very Good,100
153,6.6,0.3357664234,5,0.5555555556,8,0.7777777778,8.3,0.7571428571,5,0.8333333333,0.31,0.1462264151,7,3,77.82672683,31.52935504,46.72939361,53.27060639,Neutral,53
154,8.5,0.4744525547,4,0.4444444444,6,0.5555555556,8,0.7142857143,2,0.3333333333,0.14,0.06603773585,5,2,80.98831111,47.22380364,50.16227158,49.83772842,Neutral,50
155,8.6,0.4817518248,4,0.4444444444,4,0.3333333333,4.1,0.1571428571,1,0.1666666667,0.66,0.3113207547,6,8,85.20398126,68.15084923,52.40885312,47.59114688,Neutral,48
156,6.6,0.3357664234,4,0.4444444444,5,0.4444444444,7.9,0.7,1,0.1666666667,1.33,0.6273584906,6,6,78.13711916,33.07017637,27.7099267,72.2900733,Good,72
157,11.7,0.7080291971,0,0,8,0.7777777778,7.5,0.6428571429,2,0.3333333333,0.57,0.2688679245,6,8,79.5286298,39.97778667,57.81867905,42.18132095,Neutral,42
158,8.9,0.503649635,0,0,3,0.2222222222,4.2,0.1714285714,2,0.3333333333,1,0.4716981132,10,7,80.44494199,44.52646017,22.30882536,77.69117464,Good,78
159,5.6,0.2627737226,2,0.2222222222,3,0.2222222222,6.2,0.4571428571,5,0.8333333333,0.2,0.09433962264,5,3,77.03768032,27.61244229,5.720900746,94.27909925,Very Good,94
160,9.3,0.5328467153,9,1,4,0.3333333333,6.9,0.5571428571,1,0.1666666667,0.58,0.2735849057,5,8,87.11031801,77.61411239,66.45148576,33.54851424,Bad,34
161,6.1,0.299270073,3,0.3333333333,1,0,9,0.8571428571,2,0.3333333333,0.05,0.02358490566,9,10,77.37455158,29.2847079,0,100,Very Good,100
162,9.6,0.5547445255,4,0.4444444444,9,0.8888888889,7.6,0.6571428571,2,0.3333333333,0.24,0.1132075472,8,1,82.05969443,52.54226708,75.75067932,24.24932068,Bad,24
163,10.3,0.6058394161,1,0.1111111111,8,0.7777777778,5.2,0.3142857143,5,0.8333333333,0.13,0.06132075472,4,1,80.85438098,46.5589599,60.13982289,39.86017711,Bad,40
164,6.4,0.3211678832,7,0.7777777778,8,0.7777777778,9,0.8571428571,5,0.8333333333,1.1,0.5188679245,7,10,77.16795317,28.25913086,44.2895399,55.7104601,Neutral,56
165,9.9,0.5766423358,1,0.1111111111,10,1,6.6,0.5142857143,3,0.5,0.98,0.4622641509,8,8,78.69196993,35.824516,64.36913014,35.63086986,Bad,36
166,8.8,0.496350365,8,0.8888888889,6,0.5555555556,6.1,0.4428571429,5,0.8333333333,0.62,0.2924528302,9,9,84.02861296,62.31619304,62.86847323,37.13152677,Bad,37
167,9.6,0.5547445255,1,0.1111111111,7,0.6666666667,6,0.4285714286,0,0,0.27,0.1273584906,5,10,82.49832875,54.71969561,62.32480331,37.67519669,Bad,38
168,11.8,0.7153284672,8,0.8888888889,6,0.5555555556,4.1,0.1571428571,1,0.1666666667,0.4,0.1886792453,3,6,91.58586928,99.83123616,99.98739296,0.01260703519,Very Bad,0
169,7.5,0.401459854,6,0.6666666667,9,0.8888888889,6.3,0.4714285714,3,0.5,0.65,0.3066037736,4,5,82.35008821,53.9838134,73.81265863,26.18734137,Bad,26
170,6.5,0.3284671533,7,0.7777777778,3,0.2222222222,7.2,0.6,0,0,0.59,0.2783018868,10,2,83.59368621,60.15716927,40.58643591,59.41356409,Neutral,59
171,6.2,0.3065693431,1,0.1111111111,3,0.2222222222,5.9,0.4142857143,2,0.3333333333,0.42,0.1981132075,6,9,78.51451044,34.94358778,13.11443612,86.88556388,Very Good,87
172,6.4,0.3211678832,6,0.6666666667,3,0.2222222222,7.1,0.5857142857,2,0.3333333333,0.05,0.02358490566,10,6,82.43162492,54.38857054,34.56027964,65.43972036,Good,65
173,7.8,0.4233576642,5,0.5555555556,10,1,5.2,0.3142857143,3,0.5,0.47,0.2216981132,5,8,83.27694292,58.5848211,83.76114838,16.23885162,Very Bad,16
174,8.7,0.4890510949,3,0.3333333333,3,0.2222222222,6.3,0.4714285714,5,0.8333333333,0.77,0.3632075472,9,9,78.99958552,37.35155329,17.93605761,82.06394239,Very Good,82
175,8.6,0.4817518248,6,0.6666666667,9,0.8888888889,7,0.5714285714,6,1,0.6,0.2830188679,3,9,80.44734754,44.53840156,66.10187499,33.89812501,Bad,34
176,9.7,0.5620437956,3,0.3333333333,4,0.3333333333,6.8,0.5428571429,6,1,0.42,0.1981132075,2,8,79.15179465,38.10713597,26.80798263,73.19201737,Good,73
177,8,0.4379562044,1,0.1111111111,7,0.6666666667,4.1,0.1571428571,2,0.3333333333,0.57,0.2688679245,6,10,81.60250304,50.27271926,53.96350584,46.03649416,Neutral,46
178,10.9,0.6496350365,9,1,9,0.8888888889,5.8,0.4,6,1,0.92,0.4339622642,7,8,85.56050131,69.92065356,91.63219024,8.36780976,Very Bad,8
179,7.5,0.401459854,6,0.6666666667,7,0.6666666667,9,0.8571428571,4,0.6666666667,0.85,0.4009433962,5,3,78.22034876,33.48333719,43.68777094,56.31222906,Neutral,56
180,13.4,0.8321167883,7,0.7777777778,9,0.8888888889,5.8,0.4,3,0.5,0.79,0.3726415094,1,3,87.85282407,81.29999331,100,0,Very Bad,0
181,9.3,0.5328467153,1,0.1111111111,3,0.2222222222,6.5,0.5,0,0,0.1,0.04716981132,3,2,82.0286768,52.38829217,33.80518447,66.19481553,Good,66
182,6.3,0.3138686131,4,0.4444444444,4,0.3333333333,6.4,0.4857142857,3,0.5,0.45,0.2122641509,3,1,79.9594708,42.11652831,27.79318298,72.20681702,Good,72
183,5.9,0.2846715328,0,0,8,0.7777777778,8.9,0.8428571429,1,0.1666666667,0.3,0.141509434,4,4,74.87115378,16.85756867,32.29772234,67.70227766,Good,68
184,9,0.5109489051,6,0.6666666667,6,0.5555555556,8.4,0.7714285714,5,0.8333333333,1,0.4716981132,10,2,79.05126803,37.60811087,41.41344823,58.58655177,Neutral,59
185,7.6,0.4087591241,7,0.7777777778,5,0.4444444444,7.7,0.6714285714,5,0.8333333333,1.2,0.5660377358,6,2,79.34090061,39.04587857,34.1730467,65.8269533,Good,66
186,9.4,0.5401459854,5,0.5555555556,4,0.3333333333,5,0.2857142857,3,0.5,0.86,0.4056603774,5,5,83.9375485,61.86413914,47.94634523,52.05365477,Neutral,52
187,8.9,0.503649635,4,0.4444444444,8,0.7777777778,7,0.5714285714,2,0.3333333333,0.71,0.3349056604,1,4,81.34766736,49.00768718,64.15578553,35.84421447,Bad,36
188,7.9,0.4306569343,5,0.5555555556,1,0,7.4,0.6285714286,2,0.3333333333,0.69,0.3254716981,6,1,81.08722223,47.71480921,16.02839479,83.97160521,Very Good,84
189,6.3,0.3138686131,1,0.1111111111,9,0.8888888889,5.5,0.3571428571,4,0.6666666667,0.22,0.1037735849,9,9,78.08867116,32.82967521,50.48680382,49.51319618,Neutral,50
190,5,0.2189781022,0,0,1,0,5.2,0.3142857143,4,0.6666666667,0.43,0.2028301887,1,4,76.19750789,23.44173484,0,100,Very Good,100
191,7.1,0.3722627737,6,0.6666666667,8,0.7777777778,9.1,0.8714285714,5,0.8333333333,1.33,0.6273584906,8,5,76.2417652,23.66143298,40.31240614,59.68759386,Neutral,60
192,9.7,0.5620437956,6,0.6666666667,4,0.3333333333,6,0.4285714286,4,0.6666666667,0.03,0.0141509434,8,7,84.80192942,66.15502013,53.91579935,46.08420065,Neutral,46
193,8.4,0.4671532847,9,1,9,0.8888888889,8.9,0.8428571429,0,0,1.31,0.6179245283,3,2,83.45697759,59.47853281,83.71832556,16.28167444,Very Bad,16
194,5.5,0.2554744526,9,1,5,0.4444444444,8,0.7142857143,4,0.6666666667,0.34,0.1603773585,9,8,81.53228271,49.92413788,44.02568189,55.97431811,Neutral,56
195,8.3,0.4598540146,1,0.1111111111,3,0.2222222222,7.1,0.5857142857,0,0,1.16,0.5471698113,8,2,78.6130355,35.43267692,16.85419386,83.14580614,Very Good,83
196,8.8,0.496350365,1,0.1111111111,9,0.8888888889,7.2,0.6,4,0.6666666667,0.2,0.09433962264,3,10,78.00836738,32.43103853,54.33867389,45.66132611,Neutral,46
197,6.2,0.3065693431,0,0,9,0.8888888889,4.4,0.2,5,0.8333333333,0.79,0.3726415094,10,5,76.64179406,25.64721977,41.60799706,58.39200294,Neutral,58
198,8.3,0.4598540146,9,1,4,0.3333333333,6.8,0.5428571429,5,0.8333333333,0.13,0.06132075472,5,2,84.67706665,65.53518774,53.41244483,46.58755517,Neutral,47
199,8.1,0.4452554745,7,0.7777777778,4,0.3333333333,8.6,0.8,0,0,0.21,0.09905660377,3,2,83.87855055,61.57126689,51.8453075,48.1546925,Neutral,48
200,5.7,0.2700729927,7,0.7777777778,8,0.7777777778,7.5,0.6428571429,3,0.5,0.61,0.2877358491,5,4,80.62915161,45.44089677,58.94172607,41.05827393,Neutral,41
201,8.7,0.4890510949,0,0,2,0.1111111111,6.7,0.5285714286,5,0.8333333333,1,0.4716981132,9,4,75.44181373,19.69038679,0,100,Very Good,100
202,9.1,0.5182481752,7,0.7777777778,9,0.8888888889,9.1,0.8714285714,3,0.5,0.08,0.03773584906,4,8,82.28233201,53.64746424,78.64176083,21.35823917,Bad,21
203,10.2,0.598540146,8,0.8888888889,6,0.5555555556,6.2,0.4571428571,2,0.3333333333,0.25,0.1179245283,6,6,87.63433827,80.21540601,82.0618547,17.9381453,Very Bad,18
204,10.1,0.5912408759,3,0.3333333333,9,0.8888888889,5.6,0.3714285714,0,0,0.45,0.2122641509,3,10,84.75859025,65.93987977,86.75297906,13.24702094,Very Bad,13
205,5.2,0.2335766423,0,0,8,0.7777777778,6.7,0.5285714286,6,1,0.46,0.2169811321,3,8,73.23927047,8.756722214,20.48449971,79.51550029,Good,80
206,6.1,0.299270073,0,0,7,0.6666666667,7.6,0.6571428571,5,0.8333333333,0.77,0.3632075472,5,7,72.94939435,7.317745616,14.31110106,85.68889894,Very Good,86
207,9,0.5109489051,2,0.2222222222,1,0,3.9,0.1285714286,1,0.1666666667,0.97,0.4575471698,8,10,83.36184005,59.00625972,23.20440361,76.79559639,Good,77
208,9,0.5109489051,4,0.4444444444,3,0.2222222222,6.9,0.5571428571,2,0.3333333333,0.47,0.2216981132,8,4,81.98777596,52.18525598,33.95313077,66.04686923,Good,66
209,9,0.5109489051,4,0.4444444444,2,0.1111111111,7.7,0.6714285714,3,0.5,1.43,0.6745283019,3,2,78.59550283,35.3456428,11.46795557,88.53204443,Very Good,89
210,15.7,1,8,0.8888888889,5,0.4444444444,6.1,0.4428571429,5,0.8333333333,0.61,0.2877358491,8,9,89.08397724,87.41157169,86.51512429,13.48487571,Very Bad,13
211,9.1,0.5182481752,9,1,5,0.4444444444,8.2,0.7428571429,0,0,0.33,0.1556603774,8,2,86.6169831,75.1651442,72.36263534,27.63736466,Bad,28
212,10.3,0.6058394161,1,0.1111111111,5,0.4444444444,7.5,0.6428571429,6,1,0.31,0.1462264151,3,1,77.21952025,28.51511546,25.25123349,74.74876651,Good,75
213,9.9,0.5766423358,1,0.1111111111,4,0.3333333333,9.7,0.9571428571,4,0.6666666667,0.37,0.1745283019,10,8,75.63338952,20.64138983,13.50479951,86.49520049,Very Good,86
214,9.3,0.5328467153,5,0.5555555556,5,0.4444444444,5.4,0.3428571429,6,1,0.33,0.1556603774,10,10,82.40741295,54.26837964,47.46076998,52.53923002,Neutral,53
215,7.4,0.3941605839,8,0.8888888889,3,0.2222222222,7.7,0.6714285714,1,0.1666666667,0.98,0.4622641509,2,9,83.16556511,58.03192952,39.81705043,60.18294957,Good,60
216,9.5,0.5474452555,0,0,1,0,5,0.2857142857,3,0.5,0.73,0.3443396226,10,1,79.81137978,41.38138836,7.388494304,92.6115057,Very Good,93
217,6.5,0.3284671533,8,0.8888888889,5,0.4444444444,4.1,0.1571428571,2,0.3333333333,0.09,0.04245283019,2,7,87.63549513,80.22114882,69.70024243,30.29975757,Bad,30
218,7.5,0.401459854,8,0.8888888889,9,0.8888888889,3.4,0.05714285714,6,1,0.59,0.2783018868,9,2,85.55535925,69.89512781,85.69615668,14.30384332,Very Bad,14
219,7,0.3649635036,8,0.8888888889,9,0.8888888889,7.3,0.6142857143,0,0,0.84,0.3962264151,7,6,84.26155477,63.47254154,84.43359938,15.56640062,Very Bad,16
220,8.2,0.4525547445,4,0.4444444444,4,0.3333333333,6.8,0.5428571429,1,0.1666666667,1.26,0.5943396226,6,5,80.6942207,45.76390682,33.42522238,66.57477762,Good,67
221,12.6,0.7737226277,8,0.8888888889,3,0.2222222222,5.8,0.4,0,0,0.94,0.4433962264,7,1,89.87475248,91.3370661,74.44432202,25.55567798,Bad,26
222,4.3,0.1678832117,3,0.3333333333,1,0,3.8,0.1142857143,5,0.8333333333,0.88,0.4150943396,8,2,78.43750238,34.56131137,0,100,Very Good,100
223,9.4,0.5401459854,1,0.1111111111,2,0.1111111111,5.5,0.3571428571,4,0.6666666667,0.53,0.25,1,2,79.76653922,41.15879495,14.47225119,85.52774881,Very Good,86
224,4.8,0.204379562,5,0.5555555556,8,0.7777777778,6.5,0.5,2,0.3333333333,0.69,0.3254716981,8,10,79.85301994,41.58809466,52.97556198,47.02443802,Neutral,47
225,7.1,0.3722627737,3,0.3333333333,1,0,7.7,0.6714285714,0,0,1.12,0.5283018868,3,10,78.90465829,36.88032415,4.960204878,95.03979512,Very Good,95
226,10.2,0.598540146,5,0.5555555556,8,0.7777777778,6.5,0.5,3,0.5,0.17,0.08018867925,3,6,84.10909119,62.7156957,78.19752406,21.80247594,Bad,22
227,8.1,0.4452554745,2,0.2222222222,7,0.6666666667,6.9,0.5571428571,5,0.8333333333,0.33,0.1556603774,6,1,77.81721482,31.48213641,39.11005743,60.88994257,Good,61
228,5.8,0.2773722628,5,0.5555555556,8,0.7777777778,5.9,0.4142857143,5,0.8333333333,0.11,0.05188679245,4,4,80.36300085,44.11969544,55.39825071,44.60174929,Neutral,45
229,6.6,0.3357664234,1,0.1111111111,6,0.5555555556,9.1,0.8714285714,2,0.3333333333,0.69,0.3254716981,4,10,74.63990443,15.70962168,18.60480541,81.39519459,Very Good,81
230,9.4,0.5401459854,1,0.1111111111,9,0.8888888889,5,0.2857142857,5,0.8333333333,1.12,0.5283018868,4,5,78.55809358,35.15993921,54.38240393,45.61759607,Neutral,46
231,6.5,0.3284671533,8,0.8888888889,3,0.2222222222,5.5,0.3571428571,3,0.5,0.2,0.09433962264,10,2,85.1612813,67.93888196,45.99583992,54.00416008,Neutral,54
232,8.4,0.4671532847,6,0.6666666667,10,1,5.8,0.4,0,0,0.7,0.3301886792,9,2,85.48411146,69.54144605,96.09209016,3.907909838,Very Bad,4
233,8.1,0.4452554745,2,0.2222222222,4,0.3333333333,7.3,0.6142857143,2,0.3333333333,0.29,0.1367924528,8,7,79.43554366,39.51569697,27.7731302,72.2268698,Good,72
234,6.7,0.3430656934,0,0,6,0.5555555556,4.9,0.2714285714,5,0.8333333333,0.96,0.4528301887,3,7,76.11457427,23.03004336,20.05114736,79.94885264,Good,80
235,12.3,0.7518248175,7,0.7777777778,8,0.7777777778,6.7,0.5285714286,5,0.8333333333,0.77,0.3632075472,1,6,84.72573545,65.77678494,83.09930636,16.90069364,Very Bad,17
236,9.3,0.5328467153,5,0.5555555556,5,0.4444444444,6.7,0.5285714286,3,0.5,0.71,0.3349056604,1,1,82.20471753,53.26217752,48.30443574,51.69556426,Neutral,52
237,3.9,0.1386861314,6,0.6666666667,3,0.2222222222,5.5,0.3571428571,4,0.6666666667,0.36,0.1698113208,1,3,80.51713984,44.88485815,20.87732242,79.12267758,Good,79
238,8.4,0.4671532847,8,0.8888888889,6,0.5555555556,7,0.5714285714,4,0.6666666667,0.14,0.06603773585,4,9,84.28039778,63.56608026,65.12114078,34.87885922,Bad,35
239,6.7,0.3430656934,4,0.4444444444,4,0.3333333333,5,0.2857142857,6,1,0.76,0.358490566,6,10,79.26653594,38.67672423,22.62047949,77.37952051,Good,77
240,9.7,0.5620437956,0,0,9,0.8888888889,4.8,0.2571428571,5,0.8333333333,0.08,0.03773584906,4,1,80.07901837,42.70997547,61.92029171,38.07970829,Bad,38
241,6.4,0.3211678832,9,1,3,0.2222222222,6.6,0.5142857143,0,0,1.59,0.75,3,2,84.09739312,62.65762521,42.1748349,57.8251651,Neutral,58
242,7.8,0.4233576642,6,0.6666666667,4,0.3333333333,4,0.1428571429,2,0.3333333333,0.79,0.3726415094,8,8,85.60015346,70.11749117,53.66291538,46.33708462,Neutral,46
243,9,0.5109489051,4,0.4444444444,7,0.6666666667,3.3,0.04285714286,5,0.8333333333,0.21,0.09905660377,8,7,84.59262772,65.11602367,68.50119906,31.49880094,Bad,31
244,9.7,0.5620437956,2,0.2222222222,7,0.6666666667,7.3,0.6142857143,1,0.1666666667,0.19,0.08962264151,6,9,81.45877279,49.55922662,59.05715903,40.94284097,Neutral,41
245,5.6,0.2627737226,8,0.8888888889,4,0.3333333333,8.1,0.7285714286,2,0.3333333333,0.45,0.2122641509,9,10,81.72788697,50.89513873,38.55288637,61.44711363,Good,61
246,7.3,0.3868613139,0,0,6,0.5555555556,5.8,0.4,6,1,0.38,0.179245283,10,4,75.95163201,22.2211802,20.96010651,79.03989349,Good,79
247,7.1,0.3722627737,0,0,3,0.2222222222,5.5,0.3571428571,4,0.6666666667,1.06,0.5,1,4,76.19881821,23.44823944,1.621480709,98.37851929,Very Good,98
248,6.7,0.3430656934,0,0,6,0.5555555556,8,0.7142857143,5,0.8333333333,0.59,0.2783018868,8,7,73.26983034,8.908424751,10.25599911,89.74400089,Very Good,90
249,11.5,0.6934306569,2,0.2222222222,2,0.1111111111,4.8,0.2571428571,3,0.5,0.13,0.06132075472,6,1,84.40965847,64.20774442,38.22069416,61.77930584,Good,62
250,8.8,0.496350365,5,0.5555555556,8,0.7777777778,4.5,0.2142857143,1,0.1666666667,1.45,0.6839622642,1,10,84.29114666,63.61943887,75.22876074,24.77123926,Bad,25
251,5.5,0.2554744526,9,1,2,0.1111111111,7.6,0.6571428571,5,0.8333333333,0.52,0.2452830189,4,9,80.98313626,47.19811511,20.70852106,79.29147894,Good,79
252,9.8,0.5693430657,2,0.2222222222,7,0.6666666667,6.5,0.5,6,1,0.88,0.4150943396,5,2,77.81083108,31.4504468,39.74758604,60.25241396,Good,60
253,12.2,0.7445255474,7,0.7777777778,9,0.8888888889,8.1,0.7285714286,0,0,0.2,0.09433962264,7,1,87.46154778,79.35765521,100,0,Very Bad,0
254,10.1,0.5912408759,9,1,1,0,3.3,0.04285714286,1,0.1666666667,0.68,0.320754717,8,7,91.61986608,100,64.4403106,35.5596894,Bad,36
255,5,0.2189781022,1,0.1111111111,8,0.7777777778,4.4,0.2,6,1,0.66,0.3113207547,9,6,76.23338689,23.61984213,32.02338215,67.97661785,Good,68
256,7,0.3649635036,8,0.8888888889,7,0.6666666667,6.5,0.5,5,0.8333333333,0.44,0.2075471698,6,3,82.59722414,55.21062305,61.63575571,38.36424429,Bad,38
257,10.5,0.6204379562,2,0.2222222222,6,0.5555555556,7.1,0.5857142857,0,0,1.51,0.7122641509,10,1,80.44738645,44.53859473,47.631788,52.368212,Neutral,52
258,6.6,0.3357664234,4,0.4444444444,6,0.5555555556,7.8,0.6857142857,1,0.1666666667,1.15,0.5424528302,9,5,78.59102752,35.32342687,36.503278,63.496722,Good,63
259,8.9,0.503649635,9,1,6,0.5555555556,6.8,0.5428571429,0,0,0.3,0.141509434,4,10,88.12760147,82.66401826,84.43640847,15.56359153,Very Bad,16
260,9.5,0.5474452555,7,0.7777777778,9,0.8888888889,6.7,0.5285714286,0,0,0.05,0.02358490566,8,4,87.37376373,78.92188562,100,0,Very Bad,0
261,6.1,0.299270073,1,0.1111111111,2,0.1111111111,5.9,0.4142857143,1,0.1666666667,0.67,0.3160377358,3,5,78.63648629,35.5490892,6.984656012,93.01534399,Very Good,93
262,7.9,0.4306569343,5,0.5555555556,1,0,8.9,0.8428571429,1,0.1666666667,0.54,0.2547169811,4,1,80.32262205,43.91925068,14.34825104,85.65174896,Very Good,86
263,2,0,4,0.4444444444,6,0.5555555556,4.8,0.2571428571,0,0,0.68,0.320754717,10,1,80.21539383,43.3869581,36.98173106,63.01826894,Good,63
264,6,0.2919708029,9,1,10,1,7,0.5714285714,6,1,0.6,0.2830188679,4,5,81.21620399,48.35508868,74.71501367,25.28498633,Bad,25
265,7.5,0.401459854,8,0.8888888889,8,0.7777777778,5,0.2857142857,4,0.6666666667,0.75,0.3537735849,6,6,84.75823436,65.93811308,77.32957986,22.67042014,Bad,23
266,5.5,0.2554744526,4,0.4444444444,3,0.2222222222,7.3,0.6142857143,1,0.1666666667,1.22,0.5754716981,9,5,78.22746091,33.51864264,13.16823954,86.83176046,Very Good,87
267,11.3,0.6788321168,1,0.1111111111,10,1,4.9,0.2714285714,5,0.8333333333,0.78,0.3679245283,6,2,80.70075004,45.79631917,73.00635708,26.99364292,Bad,27
268,5.1,0.2262773723,4,0.4444444444,1,0,7.6,0.6571428571,2,0.3333333333,0.02,0.009433962264,1,9,79.19011724,38.29737348,4.784788487,95.21521151,Very Good,95
269,7.1,0.3722627737,3,0.3333333333,9,0.8888888889,6.7,0.5285714286,3,0.5,1.18,0.5566037736,5,5,77.93430788,32.0633991,52.01321476,47.98678524,Neutral,48
270,8.3,0.4598540146,6,0.6666666667,1,0,9.1,0.8714285714,0,0,1.32,0.6226415094,9,5,80.46987887,44.65024955,15.66222021,84.33777979,Very Good,84
271,10.9,0.6496350365,5,0.5555555556,3,0.2222222222,6.1,0.4428571429,0,0,2.08,0.9811320755,5,10,83.47340936,59.56010193,41.62530195,58.37469805,Neutral,58
272,5.1,0.2262773723,1,0.1111111111,8,0.7777777778,7.1,0.5857142857,3,0.5,0.06,0.02830188679,6,9,76.35274078,24.21232782,36.55028714,63.44971286,Good,63
273,10.3,0.6058394161,4,0.4444444444,3,0.2222222222,5.3,0.3285714286,4,0.6666666667,0.62,0.2924528302,3,3,83.1489003,57.9492036,38.42194328,61.57805672,Good,62
274,8,0.4379562044,6,0.6666666667,4,0.3333333333,6.1,0.4428571429,3,0.5,0.54,0.2547169811,8,5,83.15117031,57.96047217,44.56398502,55.43601498,Neutral,55
275,6,0.2919708029,6,0.6666666667,8,0.7777777778,6.7,0.5285714286,1,0.1666666667,0.78,0.3679245283,10,5,81.88610515,51.68055101,64.30261475,35.69738525,Bad,36
276,8.9,0.503649635,4,0.4444444444,1,0,4.2,0.1714285714,3,0.5,0.23,0.108490566,4,2,84.78666107,66.07922637,30.68408742,69.31591258,Good,69
277,8.4,0.4671532847,8,0.8888888889,6,0.5555555556,4.4,0.2,0,0,1.46,0.6886792453,4,4,87.42792698,79.19075789,77.14450106,22.85549894,Bad,23
278,6.8,0.3503649635,3,0.3333333333,1,0,7.4,0.6285714286,3,0.5,0.11,0.05188679245,5,2,78.9341977,37.02696104,4.460352437,95.53964756,Very Good,96
279,8.1,0.4452554745,2,0.2222222222,1,0,6.3,0.4714285714,2,0.3333333333,0.34,0.1603773585,10,5,80.48406118,44.7206521,11.58714638,88.41285362,Very Good,88
280,7.2,0.3795620438,3,0.3333333333,8,0.7777777778,5.6,0.3714285714,5,0.8333333333,0.26,0.1226415094,9,10,79.66695916,40.6644687,52.51136863,47.48863137,Neutral,47
281,8.2,0.4525547445,4,0.4444444444,4,0.3333333333,5.4,0.3428571429,1,0.1666666667,0.49,0.2311320755,8,2,83.74705089,60.91848825,46.68937332,53.31062668,Neutral,53
282,9.3,0.5328467153,5,0.5555555556,1,0,5.5,0.3571428571,3,0.5,0.88,0.4150943396,7,10,83.25539138,58.47783693,25.17685264,74.82314736,Good,75
283,11.2,0.6715328467,2,0.2222222222,10,1,6.7,0.5285714286,0,0,0.53,0.25,5,9,83.26453482,58.52322593,88.32371683,11.67628317,Very Bad,12
284,5.5,0.2554744526,1,0.1111111111,7,0.6666666667,7.2,0.6,6,1,0.51,0.2405660377,9,10,73.68136926,10.95134877,16.96159084,83.03840916,Very Good,83
285,12.3,0.7518248175,3,0.3333333333,5,0.4444444444,3.4,0.05714285714,5,0.8333333333,0.54,0.2547169811,9,6,85.37557073,69.00263802,61.63419705,38.36580295,Bad,38
286,4.1,0.1532846715,4,0.4444444444,5,0.4444444444,8.6,0.8,1,0.1666666667,0.34,0.1603773585,10,8,77.38022617,29.31287717,23.10064423,76.89935577,Good,77
287,7.7,0.4160583942,3,0.3333333333,1,0,8.5,0.7857142857,0,0,1.32,0.6226415094,10,9,78.05097028,32.64252398,2.272578223,97.72742178,Very Good,98
288,9.2,0.5255474453,2,0.2222222222,10,1,3,0,4,0.6666666667,0.68,0.320754717,2,8,83.0835667,57.62488047,80.67330793,19.32669207,Very Bad,19
289,8.6,0.4817518248,7,0.7777777778,6,0.5555555556,8.1,0.7285714286,2,0.3333333333,0.07,0.03301886792,4,5,83.74576024,60.91208131,64.16536705,35.83463295,Bad,36
290,6.8,0.3503649635,9,1,9,0.8888888889,8.1,0.7285714286,4,0.6666666667,0.48,0.2264150943,8,5,82.10275116,52.75600538,74.63645307,25.36354693,Bad,25
291,7.6,0.4087591241,3,0.3333333333,9,0.8888888889,6.5,0.5,2,0.3333333333,0.51,0.2405660377,1,6,80.45866042,44.59455996,64.71422669,35.28577331,Bad,35
292,7,0.3649635036,1,0.1111111111,8,0.7777777778,4.6,0.2285714286,3,0.5,0.74,0.3490566038,5,1,79.31372608,38.91098123,49.1706464,50.8293536,Neutral,51
293,6.8,0.3503649635,1,0.1111111111,5,0.4444444444,8,0.7142857143,1,0.1666666667,0.18,0.08490566038,8,8,77.6719635,30.76109304,25.67299095,74.32700905,Good,74
294,9.7,0.5620437956,0,0,1,0,6.1,0.4428571429,3,0.5,0.8,0.3773584906,2,2,78.56814685,35.20984476,2.88974364,97.11025636,Very Good,97
295,8.7,0.4890510949,3,0.3333333333,9,0.8888888889,7.3,0.6142857143,2,0.3333333333,0.85,0.4009433962,2,6,79.70578498,40.8572043,62.89562634,37.10437366,Bad,37
296,6.6,0.3357664234,9,1,1,0,9.8,0.9714285714,2,0.3333333333,0.19,0.08962264151,8,9,81.89441176,51.72178592,22.54400876,77.45599124,Good,77
297,9.8,0.5693430657,8,0.8888888889,8,0.7777777778,6.9,0.5571428571,2,0.3333333333,0.26,0.1226415094,10,3,86.52349954,74.70108163,90.54902359,9.450976406,Very Bad,9
298,8.6,0.4817518248,6,0.6666666667,5,0.4444444444,5.1,0.3,5,0.8333333333,0.82,0.3867924528,9,2,82.87034844,56.56644182,48.8359271,51.1640729,Neutral,51
299,9.6,0.5547445255,9,1,3,0.2222222222,6,0.4285714286,0,0,0.51,0.2405660377,7,10,89.15660968,87.77212702,68.94954125,31.05045875,Bad,31
